"Title","Gross Domestic Product: chained volume measures: Seasonally adjusted £m"
"CDID","ABMI"
"Source dataset ID","QNA"
"PreUnit","£"
"Unit","m"
"Release date","30-09-2020"
"Next release","12 November 2020"
"Important notes",
"2006 Q3","462734"
"2006 Q4","464891"
"2007 Q1","469274"
"2007 Q2","471920"
"2007 Q3","475530"
"2007 Q4","477958"
"2008 Q1","480523"
"2008 Q2","477834"
"2008 Q3","470368"
"2008 Q4","460676"
"2009 Q1","452896"
"2009 Q2","452036"
"2009 Q3","452595"
"2009 Q4","454145"
"2010 Q1","457058"
"2010 Q2","461765"
"2010 Q3","465134"
"2010 Q4","465290"
"2011 Q1","466970"
"2011 Q2","467370"
"2011 Q3","468942"
"2011 Q4","469556"
"2012 Q1","472809"
"2012 Q2","472114"
"2012 Q3","477869"
"2012 Q4","476834"
"2013 Q1","479357"
"2013 Q2","483211"
"2013 Q3","487728"
"2013 Q4","490859"
"2014 Q1","494629"
"2014 Q2","497849"
"2014 Q3","500658"
"2014 Q4","503589"
"2015 Q1","506314"
"2015 Q2","510095"
"2015 Q3","512070"
"2015 Q4","515430"
"2016 Q1","516456"
"2016 Q2","518794"
"2016 Q3","520379"
"2016 Q4","523484"
"2017 Q1","526081"
"2017 Q2","527622"
"2017 Q3","529856"
"2017 Q4","531737"
"2018 Q1","532104"
"2018 Q2","534140"
"2018 Q3","537326"
"2018 Q4","538222"
"2019 Q1","541188"
"2019 Q2","541091"
"2019 Q3","542854"
"2019 Q4","543665"
"2020 Q1","529950"
"2020 Q2","424962"
